Zone,Sex,Cancer,Years,PopTot,Cases,AAIR,LCI,UCI,W_PopTot,W_Cases,W_AAIR,W_LCI,W_UCI,B_PopTot,B_Cases,B_AAIR,B_LCI,B_UCI,H_PopTot,H_Cases,H_AAIR,H_LCI,H_UCI,API_PopTot,API_Cases,API_AAIR,API_LCI,API_UCI,AIAN_PopTot,AIAN_Cases,AIAN_AAIR,AIAN_LCI,AIAN_UCI
A9034,Female,Leuks,01yr,32042,,,,,18169,,,,,12490,,,,,826,,,,,412,,,,,145,,,,
A9038,Female,Leuks,01yr,32882,,,,,22015,,,,,8379,,,,,1630,,,,,712,,,,,146,,,,
Statewide,Male,Leuks,01yr,2283809,580,25.379,24.11,26.648,1374912,181,13.139,12.482,13.796,723206,87,12.015,11.414,12.615,125373,16,12.453,11.83,13.075,44547,,,,,15771,,,,
A9010,Male,Leuks,01yr,29693,,,,,19186,,,,,8179,,,,,1370,,,,,829,,,,,129,,,,
A9013,Male,Leuks,01yr,30522,,,,,21174,,,,,5960,,,,,2612,,,,,626,,,,,150,,,,
A9017,Male,Leuks,01yr,30182,,,,,13819,,,,,15365,,,,,708,,,,,159,,,,,132,,,,
A9020,Male,Leuks,01yr,29712,,,,,6478,,,,,22000,,,,,781,,,,,356,,,,,97,,,,
A9034,Male,Leuks,01yr,29876,,,,,17393,,,,,11089,,,,,887,,,,,364,,,,,144,,,,
A9038,Male,Leuks,01yr,31347,,,,,21572,,,,,7187,,,,,1903,,,,,527,,,,,158,,,,
Statewide,Both,Oral,01yr,4670724,716,15.319,14.553,16.085,2792442,418,14.979,14.23,15.727,1522555,194,12.735,12.099,13.372,232532,28,11.835,11.243,12.426,91178,,,,,32017,,,,
A9010,Both,Oral,01yr,62464,,,,,40475,,,,,17428,,,,,2581,,,,,1684,,,,,296,,,,
A9013,Both,Oral,01yr,60946,,,,,42203,,,,,12237,,,,,4788,,,,,1378,,,,,338,,,,
A9017,Both,Oral,01yr,62145,,,,,27674,,,,,32443,,,,,1363,,,,,388,,,,,277,,,,
A9020,Both,Oral,01yr,64933,,,,,13375,,,,,49117,,,,,1482,,,,,724,,,,,236,,,,
A9034,Both,Oral,01yr,61918,,,,,35562,,,,,23579,,,,,1712,,,,,776,,,,,289,,,,
A9038,Both,Oral,01yr,64229,,,,,43588,,,,,15566,,,,,3533,,,,,1239,,,,,305,,,,
Statewide,Female,Oral,01yr,2386915,177,7.408,7.038,7.778,1417530,34,2.389,2.27,2.509,799349,50,6.227,5.915,6.538,107159,,,,,46631,,,,,16246,,,,
A9010,Female,Oral,01yr,32771,,,,,21289,,,,,9249,,,,,1210,,,,,855,,,,,167,,,,
A9013,Female,Oral,01yr,30424,,,,,21030,,,,,6277,,,,,2176,,,,,752,,,,,189,,,,
A9017,Female,Oral,01yr,31963,,,,,13855,,,,,17078,,,,,656,,,,,229,,,,,145,,,,
A9020,Female,Oral,01yr,35222,,,,,6897,,,,,27117,,,,,701,,,,,368,,,,,139,,,,
A9034,Female,Oral,01yr,32042,,,,,18169,,,,,12490,,,,,826,,,,,412,,,,,145,,,,
A9038,Female,Oral,01yr,32882,,,,,22015,,,,,8379,,,,,1630,,,,,712,,,,,146,,,,
Statewide,Male,Oral,01yr,2283809,483,21.129,20.073,22.186,1374912,193,14.071,13.367,14.774,723206,131,18.086,17.182,18.99,125373,17,13.436,12.764,14.108,44547,,,,,15771,,,,
A9010,Male,Oral,01yr,29693,,,,,19186,,,,,8179,,,,,1370,,,,,829,,,,,129,,,,
A9013,Male,Oral,01yr,30522,,,,,21174,,,,,5960,,,,,2612,,,,,626,,,,,150,,,,
A9017,Male,Oral,01yr,30182,,,,,13819,,,,,15365,,,,,708,,,,,159,,,,,132,,,,
A9020,Male,Oral,01yr,29712,,,,,6478,,,,,22000,,,,,781,,,,,356,,,,,97,,,,
A9034,Male,Oral,01yr,29876,,,,,17393,,,,,11089,,,,,887,,,,,364,,,,,144,,,,
A9038,Male,Oral,01yr,31347,,,,,21572,,,,,7187,,,,,1903,,,,,527,,,,,158,,,,
Statewide,Both,Thyroid,01yr,4670724,395,8.447,8.024,8.869,2792442,328,11.748,11.161,12.336,1522555,143,9.369,8.9,9.837,232532,21,9.049,8.597,9.502,91178,,,,,32017,,,,
A9010,Both,Thyroid,01yr,62464,,,,,40475,,,,,17428,,,,,2581,,,,,1684,,,,,296,,,,
A9013,Both,Thyroid,01yr,60946,,,,,42203,,,,,12237,,,,,4788,,,,,1378,,,,,338,,,,
A9017,Both,Thyroid,01yr,62145,,,,,27674,,,,,32443,,,,,1363,,,,,388,,,,,277,,,,
A9020,Both,Thyroid,01yr,64933,,,,,13375,,,,,49117,,,,,1482,,,,,724,,,,,236,,,,
A9034,Both,Thyroid,01yr,61918,,,,,35562,,,,,23579,,,,,1712,,,,,776,,,,,289,,,,
A9038,Both,Thyroid,01yr,64229,,,,,43588,,,,,15566,,,,,3533,,,,,1239,,,,,305,,,,
Statewide,Female,Thyroid,01yr,2386915,344,14.421,13.7,15.142,1417530,247,17.417,16.546,18.288,799349,110,13.786,13.097,14.475,107159,27,25.004,23.754,26.254,46631,,,,,16246,,,,
A9010,Female,Thyroid,01yr,32771,,,,,21289,,,,,9249,,,,,1210,,,,,855,,,,,167,,,,
A9013,Female,Thyroid,01yr,30424,,,,,21030,,,,,6277,,,,,2176,,,,,752,,,,,189,,,,
A9017,Female,Thyroid,01yr,31963,,,,,13855,,,,,17078,,,,,656,,,,,229,,,,,145,,,,
A9020,Female,Thyroid,01yr,35222,,,,,6897,,,,,27117,,,,,701,,,,,368,,,,,139,,,,
A9034,Female,Thyroid,01yr,32042,,,,,18169,,,,,12490,,,,,826,,,,,412,,,,,145,,,,
A9038,Female,Thyroid,01yr,32882,,,,,22015,,,,,8379,,,,,1630,,,,,712,,,,,146,,,,
Statewide,Male,Thyroid,01yr,2283809,71,3.119,2.963,3.275,1374912,82,5.955,5.657,6.253,723206,47,6.468,6.144,6.791,125373,,,,,44547,,,,,15771,,,,
A9010,Male,Thyroid,01yr,29693,,,,,19186,,,,,8179,,,,,1370,,,,,829,,,,,129,,,,
A9013,Male,Thyroid,01yr,30522,,,,,21174,,,,,5960,,,,,2612,,,,,626,,,,,150,,,,
A9017,Male,Thyroid,01yr,30182,,,,,13819,,,,,15365,,,,,708,,,,,159,,,,,132,,,,
A9020,Male,Thyroid,01yr,29712,,,,,6478,,,,,22000,,,,,781,,,,,356,,,,,97,,,,
A9034,Male,Thyroid,01yr,29876,,,,,17393,,,,,11089,,,,,887,,,,,364,,,,,144,,,,
A9038,Male,Thyroid,01yr,31347,,,,,21572,,,,,7187,,,,,1903,,,,,527,,,,,158,,,,
Statewide,Female,Uterine,01yr,2386915,391,16.369,15.551,17.188,1417530,287,20.237,19.225,21.249,799349,183,22.849,21.707,23.992,107159,,,,,46631,,,,,16246,,,,
A9010,Female,Uterine,01yr,32771,,,,,21289,,,,,9249,,,,,1210,,,,,855,,,,,167,,,,
A9013,Female,Uterine,01yr,30424,,,,,21030,,,,,6277,,,,,2176,,,,,752,,,,,189,,,,
A9017,Female,Uterine,01yr,31963,,,,,13855,,,,,17078,,,,,656,,,,,229,,,,,145,,,,
A9020,Female,Uterine,01yr,35222,,,,,6897,,,,,27117,,,,,701,,,,,368,,,,,139,,,,
A9034,Female,Uterine,01yr,32042,,,,,18169,,,,,12490,,,,,826,,,,,412,,,,,145,,,,
A9038,Female,Uterine,01yr,32882,,,,,22015,,,,,8379,,,,,1630,,,,,712,,,,,146,,,,
Statewide,Both,Liver,01yr,4670724,582,12.469,11.846,13.093,2792442,374,13.399,12.729,14.069,1522555,72,4.743,4.506,4.981,232532,,,,,91178,,,,,32017,,,,
A9010,Both,Liver,01yr,62464,,,,,40475,,,,,17428,,,,,2581,,,,,1684,,,,,296,,,,
A9013,Both,Liver,01yr,60946,,,,,42203,,,,,12237,,,,,4788,,,,,1378,,,,,338,,,,
A9017,Both,Liver,01yr,62145,,,,,27674,,,,,32443,,,,,1363,,,,,388,,,,,277,,,,
A9020,Both,Liver,01yr,64933,,,,,13375,,,,,49117,,,,,1482,,,,,724,,,,,236,,,,
A9034,Both,Liver,01yr,61918,,,,,35562,,,,,23579,,,,,1712,,,,,776,,,,,289,,,,
A9038,Both,Liver,01yr,64229,,,,,43588,,,,,15566,,,,,3533,,,,,1239,,,,,305,,,,
Statewide,Female,Liver,01yr,2386915,73,3.055,2.902,3.207,1417530,61,4.328,4.112,4.545,799349,34,4.193,3.983,4.402,107159,,,,,46631,,,,,16246,,,,
A9010,Female,Liver,01yr,32771,,,,,21289,,,,,9249,,,,,1210,,,,,855,,,,,167,,,,
A9013,Female,Liver,01yr,30424,,,,,21030,,,,,6277,,,,,2176,,,,,752,,,,,189,,,,
A9017,Female,Liver,01yr,31963,,,,,13855,,,,,17078,,,,,656,,,,,229,,,,,145,,,,
A9020,Female,Liver,01yr,35222,,,,,6897,,,,,27117,,,,,701,,,,,368,,,,,139,,,,
A9034,Female,Liver,01yr,32042,,,,,18169,,,,,12490,,,,,826,,,,,412,,,,,145,,,,
A9038,Female,Liver,01yr,32882,,,,,22015,,,,,8379,,,,,1630,,,,,712,,,,,146,,,,
Statewide,Male,Liver,01yr,2283809,218,9.532,9.055,10.009,1374912,202,14.671,13.937,15.404,723206,104,14.425,13.703,15.146,125373,17,13.467,12.793,14.14,44547,,,,,15771,,,,
A9010,Male,Liver,01yr,29693,,,,,19186,,,,,8179,,,,,1370,,,,,829,,,,,129,,,,
A9013,Male,Liver,01yr,30522,,,,,21174,,,,,5960,,,,,2612,,,,,626,,,,,150,,,,
A9017,Male,Liver,01yr,30182,,,,,13819,,,,,15365,,,,,708,,,,,159,,,,,132,,,,
A9020,Male,Liver,01yr,29712,,,,,6478,,,,,22000,,,,,781,,,,,356,,,,,97,,,,
A9034,Male,Liver,01yr,29876,,,,,17393,,,,,11089,,,,,887,,,,,364,,,,,144,,,,
A9038,Male,Liver,01yr,31347,,,,,21572,,,,,7187,,,,,1903,,,,,527,,,,,158,,,,
Statewide,Both,Stomach,01yr,4670724,511,10.94,10.393,11.487,2792442,253,9.054,8.601,9.507,1522555,153,10.049,9.547,10.552,232532,27,11.404,10.834,11.974,91178,,,,,32017,,,,
A9010,Both,Stomach,01yr,62464,,,,,40475,,,,,17428,,,,,2581,,,,,1684,,,,,296,,,,
A9013,Both,Stomach,01yr,60946,,,,,42203,,,,,12237,,,,,4788,,,,,1378,,,,,338,,,,
A9017,Both,Stomach,01yr,62145,,,,,27674,,,,,32443,,,,,1363,,,,,388,,,,,277,,,,
A9020,Both,Stomach,01yr,64933,,,,,13375,,,,,49117,,,,,1482,,,,,724,,,,,236,,,,
A9034,Both,Stomach,01yr,61918,,,,,35562,,,,,23579,,,,,1712,,,,,776,,,,,289,,,,
A9038,Both,Stomach,01yr,64229,,,,,43588,,,,,15566,,,,,3533,,,,,1239,,,,,305,,,,
Statewide,Female,Stomach,01yr,2386915,226,9.456,8.983,9.929,1417530,117,8.23,7.819,8.642,799349,58,7.221,6.86,7.582,107159,,,,,46631,,,,,16246,,,,
A9010,Female,Stomach,01yr,32771,,,,,21289,,,,,9249,,,,,1210,,,,,855,,,,,167,,,,
A9013,Female,Stomach,01yr,30424,,,,,21030,,,,,6277,,,,,2176,,,,,752,,,,,189,,,,
A9017,Female,Stomach,01yr,31963,,,,,13855,,,,,17078,,,,,656,,,,,229,,,,,145,,,,
A9020,Female,Stomach,01yr,35222,,,,,6897,,,,,27117,,,,,701,,,,,368,,,,,139,,,,
A9034,Female,Stomach,01yr,32042,,,,,18169,,,,,12490,,,,,826,,,,,412,,,,,145,,,,
A9038,Female,Stomach,01yr,32882,,,,,22015,,,,,8379,,,,,1630,,,,,712,,,,,146,,,,
Statewide,Male,Stomach,01yr,2283809,259,11.327,10.76,11.893,1374912,73,5.334,5.067,5.601,723206,94,13.016,12.365,13.667,125373,,,,,44547,,,,,15771,,,,
A9010,Male,Stomach,01yr,29693,,,,,19186,,,,,8179,,,,,1370,,,,,829,,,,,129,,,,
A9013,Male,Stomach,01yr,30522,,,,,21174,,,,,5960,,,,,2612,,,,,626,,,,,150,,,,
A9017,Male,Stomach,01yr,30182,,,,,13819,,,,,15365,,,,,708,,,,,159,,,,,132,,,,
A9020,Male,Stomach,01yr,29712,,,,,6478,,,,,22000,,,,,781,,,,,356,,,,,97,,,,
A9034,Male,Stomach,01yr,29876,,,,,17393,,,,,11089,,,,,887,,,,,364,,,,,144,,,,
A9038,Male,Stomach,01yr,31347,,,,,21572,,,,,7187,,,,,1903,,,,,527,,,,,158,,,,
Statewide,Both,Myeloma,01yr,4670724,569,12.179,11.57,12.788,2792442,280,10.013,9.512,10.513,1522555,94,6.186,5.876,6.495,232532,19,8.272,7.858,8.686,91178,,,,,32017,,,,
A9010,Both,Myeloma,01yr,62464,,,,,40475,,,,,17428,,,,,2581,,,,,1684,,,,,296,,,,
A9013,Both,Myeloma,01yr,60946,,,,,42203,,,,,12237,,,,,4788,,,,,1378,,,,,338,,,,
A9017,Both,Myeloma,01yr,62145,,,,,27674,,,,,32443,,,,,1363,,,,,388,,,,,277,,,,
A9020,Both,Myeloma,01yr,64933,,,,,13375,,,,,49117,,,,,1482,,,,,724,,,,,236,,,,
A9034,Both,Myeloma,01yr,61918,,,,,35562,,,,,23579,,,,,1712,,,,,776,,,,,289,,,,
A9038,Both,Myeloma,01yr,64229,,,,,43588,,,,,15566,,,,,3533,,,,,1239,,,,,305,,,,
Statewide,Female,Myeloma,01yr,2386915,199,8.329,7.913,8.745,1417530,147,10.402,9.882,10.922,799349,43,5.441,5.169,5.714,107159,,,,,46631,,,,,16246,,,,
A9010,Female,Myeloma,01yr,32771,,,,,21289,,,,,9249,,,,,1210,,,,,855,,,,,167,,,,
A9013,Female,Myeloma,01yr,30424,,,,,21030,,,,,6277,,,,,2176,,,,,752,,,,,189,,,,
A9017,Female,Myeloma,01yr,31963,,,,,13855,,,,,17078,,,,,656,,,,,229,,,,,145,,,,
A9020,Female,Myeloma,01yr,35222,,,,,6897,,,,,27117,,,,,701,,,,,368,,,,,139,,,,
A9034,Female,Myeloma,01yr,32042,,,,,18169,,,,,12490,,,,,826,,,,,412,,,,,145,,,,
A9038,Female,Myeloma,01yr,32882,,,,,22015,,,,,8379,,,,,1630,,,,,712,,,,,146,,,,
Statewide,Male,Myeloma,01yr,2283809,157,6.875,6.531,7.219,1374912,76,5.538,5.261,5.815,723206,39,5.447,5.175,5.719,125373,22,17.35,16.482,18.217,44547,,,,,15771,,,,
A9010,Male,Myeloma,01yr,29693,,,,,19186,,,,,8179,,,,,1370,,,,,829,,,,,129,,,,
A9013,Male,Myeloma,01yr,30522,,,,,21174,,,,,5960,,,,,2612,,,,,626,,,,,150,,,,
A9017,Male,Myeloma,01yr,30182,,,,,13819,,,,,15365,,,,,708,,,,,159,,,,,132,,,,
A9020,Male,Myeloma,01yr,29712,,,,,6478,,,,,22000,,,,,781,,,,,356,,,,,97,,,,
A9034,Male,Myeloma,01yr,29876,,,,,17393,,,,,11089,,,,,887,,,,,364,,,,,144,,,,
A9038,Male,Myeloma,01yr,31347,,,,,21572,,,,,7187,,,,,1903,,,,,527,,,,,158,,,,
Statewide,Both,Brain,01yr,4670724,382,8.183,7.774,8.593,2792442,116,4.158,3.95,4.365,1522555,67,4.381,4.162,4.601,232532,,,,,91178,,,,,32017,,,,
A9010,Both,Brain,01yr,62464,,,,,40475,,,,,17428,,,,,2581,,,,,1684,,,,,296,,,,
A9013,Both,Brain,01yr,60946,,,,,42203,,,,,12237,,,,,4788,,,,,1378,,,,,338,,,,
A9017,Both,Brain,01yr,62145,,,,,27674,,,,,32443,,,,,1363,,,,,388,,,,,277,,,,
A9020,Both,Brain,01yr,64933,,,,,13375,,,,,49117,,,,,1482,,,,,724,,,,,236,,,,
A9034,Both,Brain,01yr,61918,,,,,35562,,,,,23579,,,,,1712,,,,,776,,,,,289,,,,
A9038,Both,Brain,01yr,64229,,,,,43588,,,,,15566,,,,,3533,,,,,1239,,,,,305,,,,
Statewide,Female,Brain,01yr,2386915,158,6.628,6.297,6.959,1417530,104,7.315,6.949,7.68,799349,47,5.877,5.583,6.17,107159,,,,,46631,,,,,16246,,,,
A9010,Female,Brain,01yr,32771,,,,,21289,,,,,9249,,,,,1210,,,,,855,,,,,167,,,,
A9013,Female,Brain,01yr,30424,,,,,21030,,,,,6277,,,,,2176,,,,,752,,,,,189,,,,
A9017,Female,Brain,01yr,31963,,,,,13855,,,,,17078,,,,,656,,,,,229,,,,,145,,,,
A9020,Female,Brain,01yr,35222,,,,,6897,,,,,27117,,,,,701,,,,,368,,,,,139,,,,
A9034,Female,Brain,01yr,32042,,,,,18169,,,,,12490,,,,,826,,,,,412,,,,,145,,,,
A9038,Female,Brain,01yr,32882,,,,,22015,,,,,8379,,,,,1630,,,,,712,,,,,146,,,,
Statewide,Male,Brain,01yr,2283809,134,5.883,5.589,6.178,1374912,92,6.685,6.35,7.019,723206,76,10.518,9.992,11.044,125373,,,,,44547,,,,,15771,,,,
A9010,Male,Brain,01yr,29693,,,,,19186,,,,,8179,,,,,1370,,,,,829,,,,,129,,,,
A9013,Male,Brain,01yr,30522,,,,,21174,,,,,5960,,,,,2612,,,,,626,,,,,150,,,,
A9017,Male,Brain,01yr,30182,,,,,13819,,,,,15365,,,,,708,,,,,159,,,,,132,,,,
A9020,Male,Brain,01yr,29712,,,,,6478,,,,,22000,,,,,781,,,,,356,,,,,97,,,,
A9034,Male,Brain,01yr,29876,,,,,17393,,,,,11089,,,,,887,,,,,364,,,,,144,,,,
A9038,Male,Brain,01yr,31347,,,,,21572,,,,,7187,,,,,1903,,,,,527,,,,,158,,,,
Statewide,Both,Larynx,01yr,4670724,297,6.358,6.04,6.676,2792442,220,7.869,7.476,8.263,1522555,55,3.602,3.422,3.782,232532,22,9.252,8.789,9.714,91178,,,,,32017,,,,
A9010,Both,Larynx,01yr,62464,,,,,40475,,,,,17428,,,,,2581,,,,,1684,,,,,296,,,,
A9013,Both,Larynx,01yr,60946,,,,,42203,,,,,12237,,,,,4788,,,,,1378,,,,,338,,,,
A9017,Both,Larynx,01yr,62145,,,,,27674,,,,,32443,,,,,1363,,,,,388,,,,,277,,,,
A9020,Both,Larynx,01yr,64933,,,,,13375,,,,,49117,,,,,1482,,,,,724,,,,,236,,,,
A9034,Both,Larynx,01yr,61918,,,,,35562,,,,,23579,,,,,1712,,,,,776,,,,,289,,,,
A9038,Both,Larynx,01yr,64229,,,,,43588,,,,,15566,,,,,3533,,,,,1239,,,,,305,,,,
Statewide,Female,Larynx,01yr,2386915,60,2.504,2.379,2.63,1417530,41,2.873,2.729,3.017,799349,,,,,107159,,,,,46631,,,,,16246,,,,
A9010,Female,Larynx,01yr,32771,,,,,21289,,,,,9249,,,,,1210,,,,,855,,,,,167,,,,
A9013,Female,Larynx,01yr,30424,,,,,21030,,,,,6277,,,,,2176,,,,,752,,,,,189,,,,
A9017,Female,Larynx,01yr,31963,,,,,13855,,,,,17078,,,,,656,,,,,229,,,,,145,,,,
A9020,Female,Larynx,01yr,35222,,,,,6897,,,,,27117,,,,,701,,,,,368,,,,,139,,,,
A9034,Female,Larynx,01yr,32042,,,,,18169,,,,,12490,,,,,826,,,,,412,,,,,145,,,,
A9038,Female,Larynx,01yr,32882,,,,,22015,,,,,8379,,,,,1630,,,,,712,,,,,146,,,,
Statewide,Male,Larynx,01yr,2283809,153,6.683,6.349,7.018,1374912,120,8.741,8.303,9.178,723206,55,7.549,7.171,7.926,125373,16,13.084,12.43,13.739,44547,,,,,15771,,,,
A9010,Male,Larynx,01yr,29693,,,,,19186,,,,,8179,,,,,1370,,,,,829,,,,,129,,,,
A9013,Male,Larynx,01yr,30522,,,,,21174,,,,,5960,,,,,2612,,,,,626,,,,,150,,,,
A9017,Male,Larynx,01yr,30182,,,,,13819,,,,,15365,,,,,708,,,,,159,,,,,132,,,,
A9020,Male,Larynx,01yr,29712,,,,,6478,,,,,22000,,,,,781,,,,,356,,,,,97,,,,
A9034,Male,Larynx,01yr,29876,,,,,17393,,,,,11089,,,,,887,,,,,364,,,,,144,,,,
A9038,Male,Larynx,01yr,31347,,,,,21572,,,,,7187,,,,,1903,,,,,527,,,,,158,,,,
Statewide,Female,Ovary,01yr,2386915,171,7.153,6.795,7.51,1417530,93,6.536,6.209,6.863,799349,70,8.762,8.324,9.2,107159,,,,,46631,,,,,16246,,,,
A9010,Female,Ovary,01yr,32771,,,,,21289,,,,,9249,,,,,1210,,,,,855,,,,,167,,,,
A9013,Female,Ovary,01yr,30424,,,,,21030,,,,,6277,,,,,2176,,,,,752,,,,,189,,,,
A9017,Female,Ovary,01yr,31963,,,,,13855,,,,,17078,,,,,656,,,,,229,,,,,145,,,,
A9020,Female,Ovary,01yr,35222,,,,,6897,,,,,27117,,,,,701,,,,,368,,,,,139,,,,
A9034,Female,Ovary,01yr,32042,,,,,18169,,,,,12490,,,,,826,,,,,412,,,,,145,,,,
A9038,Female,Ovary,01yr,32882,,,,,22015,,,,,8379,,,,,1630,,,,,712,,,,,146,,,,
Statewide,Both,Esoph,01yr,4670724,372,7.969,7.571,8.368,2792442,98,3.524,3.348,3.7,1522555,102,6.698,6.363,7.033,232532,16,6.848,6.506,7.191,91178,,,,,32017,,,,
A9010,Both,Esoph,01yr,62464,,,,,40475,,,,,17428,,,,,2581,,,,,1684,,,,,296,,,,
A9013,Both,Esoph,01yr,60946,,,,,42203,,,,,12237,,,,,4788,,,,,1378,,,,,338,,,,
A9017,Both,Esoph,01yr,62145,,,,,27674,,,,,32443,,,,,1363,,,,,388,,,,,277,,,,
A9020,Both,Esoph,01yr,64933,,,,,13375,,,,,49117,,,,,1482,,,,,724,,,,,236,,,,
A9034,Both,Esoph,01yr,61918,,,,,35562,,,,,23579,,,,,1712,,,,,776,,,,,289,,,,
A9038,Both,Esoph,01yr,64229,,,,,43588,,,,,15566,,,,,3533,,,,,1239,,,,,305,,,,
Statewide,Female,Esoph,01yr,2386915,61,2.547,2.42,2.674,1417530,60,4.241,4.029,4.453,799349,20,2.508,2.382,2.633,107159,,,,,46631,,,,,16246,,,,
A9010,Female,Esoph,01yr,32771,,,,,21289,,,,,9249,,,,,1210,,,,,855,,,,,167,,,,
A9013,Female,Esoph,01yr,30424,,,,,21030,,,,,6277,,,,,2176,,,,,752,,,,,189,,,,
A9017,Female,Esoph,01yr,31963,,,,,13855,,,,,17078,,,,,656,,,,,229,,,,,145,,,,
A9020,Female,Esoph,01yr,35222,,,,,6897,,,,,27117,,,,,701,,,,,368,,,,,139,,,,
A9034,Female,Esoph,01yr,32042,,,,,18169,,,,,12490,,,,,826,,,,,412,,,,,145,,,,
A9038,Female,Esoph,01yr,32882,,,,,22015,,,,,8379,,,,,1630,,,,,712,,,,,146,,,,
Statewide,Male,Esoph,01yr,2283809,300,13.115,12.459,13.771,1374912,199,14.444,13.722,15.166,723206,65,8.979,8.53,9.428,125373,,,,,44547,,,,,15771,,,,
A9010,Male,Esoph,01yr,29693,,,,,19186,,,,,8179,,,,,1370,,,,,829,,,,,129,,,,
A9013,Male,Esoph,01yr,30522,,,,,21174,,,,,5960,,,,,2612,,,,,626,,,,,150,,,,
A9017,Male,Esoph,01yr,30182,,,,,13819,,,,,15365,,,,,708,,,,,159,,,,,132,,,,
A9020,Male,Esoph,01yr,29712,,,,,6478,,,,,22000,,,,,781,,,,,356,,,,,97,,,,
A9034,Male,Esoph,01yr,29876,,,,,17393,,,,,11089,,,,,887,,,,,364,,,,,144,,,,
A9038,Male,Esoph,01yr,31347,,,,,21572,,,,,7187,,,,,1903,,,,,527,,,,,158,,,,
Statewide,Both,AllSite,05yrs,23126262,516452,446.637,424.305,468.969,13930420,340386,488.694,464.26,513.129,7523094,179777,477.933,454.037,501.83,1088062,25813,474.475,450.752,498.199,427251,9384,439.252,417.289,461.214,157435,4244,539.123,512.167,566.079
A9010,Both,AllSite,05yrs,316394,8587,542.814,515.674,569.955,207391,5530,533.295,506.63,559.96,86956,2244,516.058,490.255,541.861,12468,320,513.894,488.2,539.589,8086,180,445.368,423.1,467.636,1493,40,539.465,512.492,566.438
A9013,Both,AllSite,05yrs,300620,6582,437.866,415.973,459.76,210982,5023,476.2,452.39,500.01,58714,1506,513.158,487.5,538.816,22638,601,531.186,504.627,557.746,6648,146,439.444,417.472,461.416,1639,43,529.493,503.018,555.967
A9017,Both,AllSite,05yrs,314711,7237,459.895,436.9,482.89,138925,3064,441.116,419.06,463.172,166179,4036,485.708,461.422,509.993,6472,154,475.595,451.815,499.375,1793,45,498.775,473.836,523.714,1343,34,509.057,483.604,534.51
A9020,Both,AllSite,05yrs,329288,7501,455.559,432.781,478.337,73493,1648,448.399,425.979,470.819,243898,6542,536.464,509.641,563.287,7267,187,515.087,489.333,540.842,3460,78,450.803,428.263,473.343,1169,27,454.033,431.331,476.735
A9034,Both,AllSite,05yrs,313318,7996,510.394,484.875,535.914,182547,4368,478.526,454.6,502.452,117246,2667,454.997,432.248,477.747,8199,187,457.315,434.449,480.18,3826,98,510.582,485.052,536.111,1499,34,453.541,430.864,476.218
A9038,Both,AllSite,05yrs,316397,7839,495.54,470.763,520.317,217421,5834,536.651,509.818,563.483,75005,1821,485.549,461.272,509.827,16566,437,527.221,500.86,553.582,5924,136,457.721,434.835,480.608,1480,34,465.448,442.175,488.72
Statewide,Female,AllSite,05yrs,11816700,228894,387.408,368.037,406.778,7072836,137314,388.286,368.871,407.7,3948962,89908,455.348,432.581,478.116,497597,9714,390.43,370.909,409.952,217327,4255,391.583,372.004,411.162,79978,1445,361.425,343.354,379.496
A9010,Female,AllSite,05yrs,166106,3548,427.201,405.841,448.562,109118,2140,392.154,372.546,411.762,46287,963,415.914,395.119,436.71,5772,123,424.589,403.36,445.819,4077,76,371.947,353.349,390.544,853,17,389.235,369.773,408.696
A9013,Female,AllSite,05yrs,150180,3263,434.557,412.829,456.285,105236,1938,368.305,349.889,386.72,30177,659,437.062,415.209,458.915,10146,192,378.365,359.446,397.283,3710,80,429.898,408.403,451.393,911,17,382.269,363.155,401.382
A9017,Female,AllSite,05yrs,161828,3059,378.038,359.136,396.94,69394,1268,365.461,347.188,383.734,87644,1836,418.984,398.034,439.933,3056,67,437.739,415.852,459.626,1044,22,421.344,400.277,442.412,689,,,,
A9020,Female,AllSite,05yrs,178654,3255,364.441,346.219,382.663,38058,860,451.999,429.399,474.599,134785,2891,428.935,407.488,450.382,3406,61,355.268,337.505,373.032,1737,31,362.393,344.274,380.513,668,,,,
A9034,Female,AllSite,05yrs,162192,3207,395.417,375.647,415.188,93315,1937,415.166,394.407,435.924,62191,1293,415.875,395.081,436.668,3909,85,436.152,414.344,457.96,2031,41,401.097,381.042,421.152,747,16,433.01,411.36,454.661
A9038,Female,AllSite,05yrs,162039,3454,426.279,404.965,447.593,109821,2048,372.97,354.321,391.618,40405,884,437.762,415.874,459.65,7614,155,407.18,386.821,427.539,3461,64,372.356,353.738,390.973,738,16,432.373,410.754,453.991
Statewide,Male,AllSite,05yrs,11309562,357517,632.238,600.626,663.85,6857584,208904,609.265,578.801,639.728,3574132,110753,619.748,588.761,650.736,590465,16742,567.09,538.735,595.444,209924,6699,638.214,606.303,670.124,77457,2625,677.717,643.831,711.603
A9010,Male,AllSite,05yrs,150288,4297,571.855,543.263,600.448,98273,2640,537.229,510.368,564.091,40669,1298,638.546,606.618,670.473,6696,192,574.061,545.358,602.765,4009,127,636.032,604.23,667.834,640,21,669.994,636.494,703.493
A9013,Male,AllSite,05yrs,150440,4948,657.791,624.902,690.681,105746,2926,553.476,525.802,581.15,28537,827,579.447,550.475,608.419,12492,373,597.418,567.548,627.289,2938,90,610.012,579.511,640.513,728,24,659.013,626.063,691.964
